# Fonte central de textos da interface. Chaves inglesas nao sao protocolos.
(-55) More Accurate	(-55) Mais preciso
(-65) Default	(-65) Padrao
(-80) Less Accurate	(-80) Menos preciso
 Tuning: 	 Sintonia: 
 clicks	 cliques
 connectable	 conectavel
<< PREV | SEL | NEXT >>	<< ANT | SEL | PROX >>
ABOUT	SOBRE
ACTIVE 	ATIVO 
AUDIO CONTROL TEST	TESTE DE AUDIO
AUTO CLICKER v1.1	CLIQUES AUTOMATICOS v1.1
All codes sent!	Todos os codigos enviados!
Append number	Adicionar numero
BACK	VOLTAR
BACK TO EDIT	VOLTAR A EDICAO
BACK menu	VOLTAR: menu
BACK: WebUI options	VOLTAR: opcoes WebUI
BLE Keyboard:	Teclado BLE:
Back	Voltar
Blue	Azul
Btn name:	Nome do botao:
CALIBRATION	CALIBRACAO
CANCEL	CANCELAR
CC1101 center MHz	Centro CC1101 MHz
Choose cmd	Escolher comando
Choose digit	Escolher unidade
Choose frequency	Escolher frequencia
Choose tens	Escolher dezena
Clear Log	Limpar registro
Clicks:	Cliques:
Clicks: 	Cliques: 
CONFIGURE / RUN	CONFIGURAR / INICIAR
COUNTER / CONFIGURE	COUNTER / CONFIGURAR
COUNTER / RESULTS	COUNTER / RESULTADOS
CUSTOM	PERSONALIZADO
Cannot find radio	Radio nao encontrado
Change name	Alterar nome
Connections	Conexoes
Couldn't create folder	Nao foi possivel criar pasta
Counter Log	Registro Counter
Custom 1..3600	Personalizado 1..3600
Custom Read	Leitura personalizada
DELETE	EXCLUIR
DELETE PROFILE	EXCLUIR PERFIL
DELETE PROFILE?	EXCLUIR PERFIL?
DURATION	DURACAO
Dark Gray	Cinza escuro
Dark Green	Verde escuro
Dashboard	Painel
Default	Padrao
Delay:	Intervalo:
Delay: 	Intervalo: 
Delete	Excluir
Delete failed	Falha ao excluir
Display	Tela
Duration: 	Duracao: 
EDIT	EDITAR
EXIT	SAIR
Emitting: 	Transmitindo: 
Enhanced Karma v3.0	Karma avancado v3.0
Event Log	Registro de eventos
Event Log (uptime)	Eventos (tempo ligado)
Export Log	Exportar registro
FILES	ARQUIVOS
FastPair buffer overflow exploit	FastPair: estouro de buffer
Frames: 	Quadros: 
Frames:               	Quadros:              
Full        	Completo    
GUIDE	GUIA
Gain:	Ganho:
Gain: 	Ganho: 
Global Monitor	Monitor global
Green	Verde
HISTORY / SUMMARY	HISTORICO / RESUMO
HOLD / CLICK / BACK: STOP	SEGURAR / CLIQUE: PARAR
History	Historico
Hold Vol +	Segure Vol +
INTENSITY / POLLING	INTENSIDADE / INTERVALO
IR Jamming Stopped	Jammer IR parado
Inject String	Digitar texto
Inject text:	Texto para digitar:
Invalid profile	Perfil invalido
KEY GAUGE / EDIT	KEY GAUGE / EDICAO
KEY GAUGE\nGeometric profile tool\nManual profile visualization\nfor educational use and\nowned objects.\nReference measurements only.	KEY GAUGE\nPerfis geometricos\nVisualizacao manual para\nuso educativo e objetos\nproprios. Medidas apenas\ncomo referencia.
LAB / AUTHORIZED TARGETS ONLY	LAB / ALVOS AUTORIZADOS
LED STRIP	FITA LED
LOAD PROFILE	CARREGAR PERFIL
Lab Wi-Fi password	Senha Wi-Fi do laboratorio
Light Blue	Azul claro
Lime Green	Verde lima
Listening...	Escutando...
Load ISO15693	Carregar ISO15693
Load MFC	Carregar MFC
Load MFU	Carregar MFU
MARK: 	MARCA: 
MIC RECORDER	GRAVADOR DE AUDIO
MODE	MODO
Message:	Mensagem:
Midnight Blue	Azul noturno
Mute	Silenciar
Mutex init failed	Falha ao iniciar mutex
NDEF data:	Dados NDEF:
NETWORK	REDE
NEW PROFILE	NOVO PERFIL
NEXT/PREV: tela  ESC: sair	PROX/ANT: tela ESC: sair
NUMBER OF POINTS	NUMERO DE PONTOS
Name already exists	Nome ja existe
Net: 	Rede: 
No web preview received	Sem previa da WebUI
None	Nenhum
OFF	DESL
ON	LIG
Orange	Laranja
Overwrite 	Sobrescrever 
PAUSED 	PAUSADO 
PIX Key:	Chave PIX:
PN9 HW NOISE TX	TX DE RUIDO PN9
POINTS	PONTOS
POWER: 	POTENCIA: 
PRESENTER	APRESENTADOR
PREV/NEXT: Navigate  SEL: View Details  ESC: Back	ANT/PROX: Navegar SEL: Detalhes ESC: Voltar
PREVIOUS POINT	PONTO ANTERIOR
PROFILE	PERFIL
PROFILE WIDTH	LARGURA DO PERFIL
Pairing...	Pareando...
Password:	Senha:
Paused	Pausado
Phone Call	Chamada telefonica
Play/Pause	Reproduzir/Pausar
Please Wait	Aguarde
Port:	Porta:
Predatory Firmware	Firmware Predador
Press any key to return	Pressione uma tecla para voltar
Prev Track	Faixa anterior
Purple	Roxo
Pwd: 	Senha: 
QR code	Codigo QR
QRCode name:	Nome do QR:
QRCode text:	Texto do QR:
Queue character:	Caractere para fila:
Queued: 	Na fila: 
Quick Remote Setup  	Config. rapida      
RATE: 	TAXA: 
RAW Data Captured:	Dados RAW capturados:
RESULTS	RESULTADOS
RESULTS / time in ms	RESULTADOS / tempo em ms
RF CENTER MHz	CENTRO RF MHz
RUN	INICIAR
RUN AGAIN	REPETIR
Recent	Recentes
Red	Vermelho
Region EU	Regiao EU
Region NA	Regiao NA
Remove	Remover
Result saved	Resultado salvo
Retry	Tentar novamente
Run Time:	Tempo decorrido:
SAVE AS	SALVAR COMO
SAVE RESULT	SALVAR RESULTADO
SCAN / SELECT	ESCANEAR / SELECIONAR
SD Card	Cartao SD
SEL rola | BACK volta	SEL: rolar | VOLTAR: sair
SELECT / max 32	SELECIONAR / max 32
SIMULATION MODE	MODO SIMULACAO
SOUND	SOM
SPACE: 	ESPACO: 
SPEED: 	VELOCIDADE: 
SYSTEM	SISTEMA
Save failed	Falha ao salvar
Save&Display	Salvar e exibir
Saved: 	Salvo: 
Score: %d	Pontos: %d
ScreenShot	Captura de tela
Secure	Seguro
Sent 	Enviado 
Sent: 	Enviado: 
Serial Command	Comando serial
Settings	Configuracoes
Shocking Pink	Rosa intenso
Simple	Simples
Spam all	Spam em todos
Spectrum Monitor	Monitor de espectro
Stealth:	Discreto:
Storage unavailable	Armazenamento indisponivel
TARGET / HOST	ALVO / HOST
TARGET: 	ALVO: 
THICKNESS	ESPESSURA
TIME'S UP!	TEMPO ESGOTADO!
TIMING: 	TEMPO: 
TOOLS	FERRAMENTAS
Target address / IPv4 host	Endereco do alvo / IPv4
Target: 	Alvo: 
Test        	Teste       
Text	Texto
Text sent	Texto enviado
Time	Tempo
Time : %02d:%02d	Tempo: %02d:%02d
Time:	Tempo:
Turn-off to restore USB	Desligue para restaurar USB
Turn: select   Click: open   Hold: back	Girar: escolher Clique: abrir Segurar: voltar
Turn / Click / Hold: back	Girar / Clique / Seg: voltar
Type your message:	Digite sua mensagem:
USB Keyboard:	Teclado USB:
USB Mass Storage	Armazenamento USB
USRN: 	USUARIO: 
UTILITIES	UTILITARIOS
Use letters, digits, _ or -	Use letras, numeros, _ ou -
User Stopped	Parado pelo usuario
Usr: 	Usuario: 
Video Stream	Transmissao de video
View Log	Ver registro
Visit Bruce	Projeto base
WEB PREVIEW	PREVIA WEB
WIFI PASSWORD	SENHA WI-FI
White	Branco
Yellow	Amarelo
[OK] Item [PREV/NEXT] Value 	[OK] Item [ANT/PROX] Valor 
\n TX power: 	\n Potencia TX: 
hidden credits!	creditos ocultos!
local / receiver	local / receptor
main devs:	desenvolvedores:
pwd: 	senha: 
you just found	voce encontrou
~== Bruce Radio ==~	~== Radio MaliOS ==~
SCAN NETWORKS	ESCANEAR REDES
CONNECTION TEST	TESTE DE CONEXAO
RECONNECT TEST	TESTE DE RECONEXAO
PACKET LOSS TEST	PERDA DE PACOTES
LATENCY TEST	TESTE DE LATENCIA
THROUGHPUT SAMPLE	AMOSTRA DE VAZAO
SIGNAL STABILITY	ESTABILIDADE DO SINAL
CHANNEL MONITOR	MONITOR DE CANAIS
BLE SCANNER	SCANNER BLE
SIGNAL MONITOR	MONITOR DE SINAL
ADVERTISEMENT MONITOR	MONITOR DE ANUNCIOS
SERVICE ENUMERATION	LISTAR SERVICOS
NOTIFICATION TEST	TESTE DE NOTIFICACOES
SPECTRUM MONITOR	MONITOR DE ESPECTRO
ACTIVITY COUNTER	CONTADOR DE ATIVIDADE
SIGNAL STRENGTH	INTENSIDADE DO SINAL
EVENT LOGGER	REGISTRO DE EVENTOS
SIMULATION	SIMULACAO
IR MONITOR	MONITOR IR
CAPTURE STATISTICS	ESTATISTICAS DE CAPTURA
REPEAT TEST	TESTE DE REPETICAO
TIMING ANALYSIS	ANALISE DE TEMPO
