# Textos Web. IDs, rotas, comandos e estados de API permanecem estaveis.
Serial Cmd	Comando serial
Navigator	Navegador
Settings	Configurações
Log Out	Sair
WebUI sections	Seções da WebUI
Predatory Firmware	Firmware Predador
DEVICE CONSOLE	CONSOLE DO DISPOSITIVO
Dashboard	Painel
Network	Rede
Radio	Rádio
Tools	Ferramentas
Files	Arquivos
System	Sistema
QUICK ACCESS	ACESSO RÁPIDO
LOCAL INTERFACE	INTERFACE LOCAL
READY	PRONTO
MALI / TOOLS	MALI / FERRAMENTAS
Built for the device.	Feito para o dispositivo.
Profile viewer / editor	Visualizador e editor de perfis
MALI / RADIO	MALI / RÁDIO
Observe. Measure.	Observe. Meça.
Device navigator	Navegador do dispositivo
MALI / DEVICE CONSOLE	MALI / CONSOLE DO DISPOSITIVO
Turn the system.	Gire o sistema.
ROTARY ACCESS / 01—04	ACESSO ROTATIVO / 01—04
One turn away.	Ao alcance de um giro.
MALI TOOLS	FERRAMENTAS MALI
Mali Tools / KEY GAUGE	Ferramentas Mali / KEY GAUGE
Action	Ação
Size	Tamanho
Name	Nome
Create new file	Criar arquivo
Create new folder	Criar pasta
Refresh folder	Atualizar pasta
Upload files to current folder	Enviar arquivos para a pasta atual
Upload folder to current folder	Enviar pasta para a pasta atual
Uploading	Enviando
Download	Baixar
Run this file	Executar este arquivo
Edit:	Editar:
Run	Executar
Save	Salvar
Delete	Excluir
Rename	Renomear
Close	Fechar
Back	Voltar
Next Page	Próxima página
Previous Page	Página anterior
Left	Esquerda
Right	Direita
Up	Cima
Down	Baixo
Long Press	Pressão longa
Select/OK	Selecionar/OK
Reload Screen = R	Atualizar tela = R
Page Up = Page Up	Página anterior = Page Up
Page Down = Page Down	Próxima página = Page Down
Back = Backspace	Voltar = Backspace
Long Press = M	Pressão longa = M
Close Navigator = Escape	Fechar navegador = Escape
Navigating = Arrow Keys	Navegar = teclas de seta
Navigator Shortcut	Atalho do navegador
Device Navigator	Navegador do dispositivo
Reload After Navigate	Atualizar após navegar
Auto Reload: 1s	Atualização: 1s
Auto Reload: 2s	Atualização: 2s
Auto Reload: 5s	Atualização: 5s
Auto Reload: 10s	Atualização: 10s
Shortcut	Atalho
Change WebUI Credentials	Alterar credenciais da WebUI
Username	Usuário
Password	Senha
Reboot	Reiniciar
Info	Informações
Local Bruce WebUI	WebUI local MaliOS
Custom WebUI	WebUI personalizada
Custom	Personalizado
or	ou
by	por
You can help develop the WebUI interface using	Você pode contribuir com a WebUI usando
You can use a keyboard for navigating instead of the on-screen buttons	Você pode navegar com um teclado ou com os botões na tela
